Time (s),"Breathing (0.3-0.7Hz, norm)","Heartbeat (0.8-2.0Hz, norm)"
4.684167,0.177683891,-0.300325746
4.694167,0.1826743088,-0.299144108
4.704167,0.1875542256,-0.295945479
4.714167,0.1923152116,-0.29072616
4.724167,0.1969488337,-0.283500197
4.734167,0.201446668,-0.27429951
4.744167,0.2058003108,-0.263173799
4.754167,0.2100013912,-0.250190248
4.764167,0.2140415836,-0.235433011
4.774167,0.2179126198,-0.219002512
4.784167,0.2216063019,-0.201014565
4.794167,0.2251145151,-0.18159933
4.804167,0.2284292407,-0.160900124
4.814167,0.231542569,-0.139072114
4.824167,0.2344467124,-0.116280905
4.834167,0.2371340189,-0.092701049
4.844167,0.2395969849,-0.068514499
4.854167,0.241828269,-0.043909037
4.864167,0.2438207039,-0.019076684
4.874167,0.2455673118,0.005787877
4.884167,0.2470613155,0.03048884463
4.894167,0.2482961525,0.05483080747
4.904167,0.2492654878,0.078620189
4.914167,0.2499632263,0.1016666362
4.924167,0.2503835261,0.1237843426
4.934167,0.250520811,0.1447933029
4.944167,0.2503697811,0.1645205054
4.954167,0.2499254285,0.1828010624
4.964167,0.2491830454,0.1994792836
4.974167,0.2481382378,0.2144096986
4.984167,0.2467869362,0.2274580354
4.994167,0.2451254063,0.2385021602
5.004167,0.2431502605,0.247432987
5.014167,0.2408584672,0.2541553604
5.024167,0.238247361,0.2585889154
5.034167,0.2353146538,0.2606689145
5.044167,0.2320584404,0.2603470626
5.054167,0.2284772105,0.2575922933
5.064167,0.2245698555,0.2523915199
5.074167,0.2203356761,0.2447503418
5.084167,0.2157743901,0.2346936904
5.094167,0.2108861386,0.2222664
5.104167,0.2056714922,0.2075336825
5.114167,0.200131457,0.1905814881
5.124167,0.1942674796,0.1715167246
5.134167,0.1880814508,0.1504673162
5.144167,0.1815757105,0.1275820739
5.154167,0.17475305,0.1030303562
5.164167,0.1676167163,0.077001495
5.174167,0.1601704109,0.049703971
5.184167,0.1524182946,0.02136431049
5.194167,0.1443649858,-0.007774293
5.204167,0.1360155617,-0.037453652
5.214167,0.1273755567,-0.067402552
5.224167,0.1184509617,-0.097338998
5.234167,0.1092482215,-0.126972725
5.244167,0.099774232,-0.156007965
5.254167,0.090036337,-0.184146421
5.264167,0.080042324,-0.211090419
5.274167,0.069800418,-0.236546208
5.284167,0.059319278,-0.260227339
5.294167,0.048607989,-0.281858093
